time,open,high,low,close,volume
2022-01-23 00:01:00,94.64,94.67,94.41,94.53,1353.91
2022-01-23 00:02:00,94.53,94.53,94.05,94.06,3402.16
2022-01-23 00:03:00,94.11,94.19,93.86,93.96,2296.65
2022-01-23 00:04:00,93.98,94.02,93.62,93.65,2465.88
2022-01-23 00:05:00,93.66,93.8,93.49,93.61,4124.81
2022-01-23 00:06:00,93.65,94.01,93.62,94.0,1702.62
2022-01-23 00:07:00,94.0,94.94,94.0,94.88,8198.31
2022-01-23 00:08:00,94.89,95.26,94.84,95.22,4540.05
2022-01-23 00:09:00,95.18,95.24,94.8,95.17,4245.25
2022-01-23 00:10:00,95.16,95.71,95.15,95.58,4037.58
2022-01-23 00:11:00,95.59,95.63,95.13,95.19,3593.35
2022-01-23 00:12:00,95.19,95.38,95.0,95.18,2759.79
2022-01-23 00:13:00,95.19,95.24,94.85,95.03,3702.56
2022-01-23 00:14:00,95.03,95.05,94.83,94.89,1846.58
2022-01-23 00:15:00,94.87,94.93,94.63,94.63,1497.96
2022-01-23 00:16:00,94.64,94.88,94.64,94.84,1023.04
2022-01-23 00:17:00,94.85,94.87,94.53,94.6,733.38
2022-01-23 00:18:00,94.61,94.65,94.36,94.47,1020.56
2022-01-23 00:19:00,94.48,94.67,94.47,94.67,1168.11
2022-01-23 00:20:00,94.67,95.18,94.67,95.09,1489.32
2022-01-23 00:21:00,95.09,95.64,95.02,95.58,3016.39
2022-01-23 00:22:00,95.58,96.0,95.5,95.97,3346.47
2022-01-23 00:23:00,95.97,96.02,95.77,95.93,3220.84
2022-01-23 00:24:00,95.91,96.3,95.86,96.06,7801.77
2022-01-23 00:25:00,96.04,96.32,95.92,96.24,3310.06
2022-01-23 00:26:00,96.23,96.65,95.99,96.49,10535.06
2022-01-23 00:27:00,96.48,97.37,96.43,97.29,6641.58
2022-01-23 00:28:00,97.31,97.89,97.31,97.35,13478.71
2022-01-23 00:29:00,97.36,97.56,97.2,97.27,3343.84
2022-01-23 00:30:00,97.25,98.23,97.24,98.05,5438.09
2022-01-23 00:31:00,98.05,98.26,97.82,98.05,7298.19
2022-01-23 00:32:00,98.06,98.35,97.95,98.07,3060.04
2022-01-23 00:33:00,98.08,98.08,97.07,97.33,2508.79
2022-01-23 00:34:00,97.29,97.35,97.04,97.33,1436.0
2022-01-23 00:35:00,97.33,97.45,96.65,96.81,4764.97
2022-01-23 00:36:00,96.82,97.99,96.74,97.93,10407.8
2022-01-23 00:37:00,97.93,97.98,97.38,97.68,2701.43
2022-01-23 00:38:00,97.66,97.72,97.21,97.29,2123.29
2022-01-23 00:39:00,97.27,97.53,97.18,97.47,1908.13
2022-01-23 00:40:00,97.45,97.47,97.1,97.18,1045.4
2022-01-23 00:41:00,97.2,97.3,97.0,97.26,932.6
2022-01-23 00:42:00,97.25,97.33,97.0,97.07,1501.84
2022-01-23 00:43:00,97.08,97.33,97.02,97.02,916.87
2022-01-23 00:44:00,97.02,97.02,96.79,96.81,1299.16
2022-01-23 00:45:00,96.79,97.13,96.74,96.94,886.83
2022-01-23 00:46:00,96.95,97.35,96.83,97.22,2183.09
2022-01-23 00:47:00,97.19,97.4,97.12,97.32,2214.64
2022-01-23 00:48:00,97.32,97.32,97.05,97.22,875.48
2022-01-23 00:49:00,97.21,97.58,97.19,97.56,1539.66
2022-01-23 00:50:00,97.54,97.56,97.22,97.5,647.6
2022-01-23 00:51:00,97.48,97.61,97.44,97.52,776.48
2022-01-23 00:52:00,97.52,97.98,97.49,97.85,2858.23
2022-01-23 00:53:00,97.84,98.17,97.81,98.0,1297.06
2022-01-23 00:54:00,97.99,98.43,97.85,98.24,3121.13
2022-01-23 00:55:00,98.28,98.43,98.09,98.19,1642.29
2022-01-23 00:56:00,98.19,98.21,97.85,97.91,1355.31
2022-01-23 00:57:00,97.9,98.27,97.9,98.02,1283.46
2022-01-23 00:58:00,98.02,98.44,98.02,98.35,1884.08
2022-01-23 00:59:00,98.34,98.47,98.13,98.31,1197.06
2022-01-23 01:00:00,98.31,98.34,98.11,98.18,898.51
2022-01-23 01:01:00,98.17,98.2,97.75,97.87,2942.29
2022-01-23 01:02:00,97.87,98.07,97.85,97.91,2445.94
2022-01-23 01:03:00,97.9,98.07,97.66,97.99,2268.14
2022-01-23 01:04:00,97.99,98.14,97.83,97.95,2845.41
2022-01-23 01:05:00,97.95,98.09,97.66,97.67,2460.74
2022-01-23 01:06:00,97.67,97.67,97.39,97.42,2764.59
2022-01-23 01:07:00,97.44,97.57,97.39,97.54,543.53
2022-01-23 01:08:00,97.54,97.77,97.53,97.74,1858.94
2022-01-23 01:09:00,97.75,97.8,97.52,97.78,3487.08
2022-01-23 01:10:00,97.79,98.05,97.71,97.91,1299.4
2022-01-23 01:11:00,97.9,97.9,97.48,97.53,1366.14
2022-01-23 01:12:00,97.55,97.82,97.51,97.82,758.26
2022-01-23 01:13:00,97.87,97.89,97.72,97.72,762.75
2022-01-23 01:14:00,97.72,97.76,97.55,97.58,742.27
2022-01-23 01:15:00,97.62,97.7,97.37,97.4,1619.0
2022-01-23 01:16:00,97.4,97.44,97.2,97.32,2126.61
2022-01-23 01:17:00,97.34,97.46,97.26,97.44,768.87
2022-01-23 01:18:00,97.43,97.54,97.29,97.47,1634.03
2022-01-23 01:19:00,97.49,97.61,97.32,97.61,2315.13
2022-01-23 01:20:00,97.59,97.99,97.57,97.93,1746.99
2022-01-23 01:21:00,97.94,98.07,97.81,98.05,889.14
2022-01-23 01:22:00,98.03,98.16,97.99,98.11,835.91
2022-01-23 01:23:00,98.1,98.62,98.09,98.5,9096.2
2022-01-23 01:24:00,98.5,98.76,98.49,98.71,2124.91
2022-01-23 01:25:00,98.68,98.69,98.39,98.52,935.75
2022-01-23 01:26:00,98.5,98.6,98.36,98.4,971.24
2022-01-23 01:27:00,98.4,98.65,98.15,98.34,3576.26
2022-01-23 01:28:00,98.32,98.56,98.23,98.49,1322.47
2022-01-23 01:29:00,98.49,98.58,98.42,98.43,570.62
2022-01-23 01:30:00,98.42,98.44,98.21,98.3,1223.42
2022-01-23 01:31:00,98.28,98.61,98.24,98.61,1017.14
2022-01-23 01:32:00,98.61,98.7,98.48,98.53,746.35
2022-01-23 01:33:00,98.53,98.97,98.37,98.97,3391.33
2022-01-23 01:34:00,98.96,99.11,98.74,99.01,3866.96
2022-01-23 01:35:00,99.01,99.25,98.97,99.04,2483.67
2022-01-23 01:36:00,99.03,99.08,98.67,98.7,2031.2
2022-01-23 01:37:00,98.69,98.81,98.44,98.6,2547.33
2022-01-23 01:38:00,98.59,98.59,98.16,98.22,3666.89
2022-01-23 01:39:00,98.23,98.4,98.12,98.36,1543.52
2022-01-23 01:40:00,98.36,98.46,98.18,98.21,1318.58
2022-01-23 01:41:00,98.21,98.69,98.06,98.58,1795.71
2022-01-23 01:42:00,98.57,98.64,98.35,98.5,742.75
2022-01-23 01:43:00,98.49,98.52,98.31,98.44,1309.84
2022-01-23 01:44:00,98.45,98.45,98.22,98.29,756.38
2022-01-23 01:45:00,98.28,98.57,98.26,98.33,800.29
2022-01-23 01:46:00,98.32,98.32,98.0,98.19,1066.22
2022-01-23 01:47:00,98.2,98.21,97.87,97.88,3474.92
2022-01-23 01:48:00,97.91,98.11,97.74,97.86,2081.3
2022-01-23 01:49:00,97.88,98.0,97.65,97.88,3005.16
2022-01-23 01:50:00,97.88,98.01,97.83,97.92,728.46
2022-01-23 01:51:00,97.92,97.94,97.55,97.66,2427.15
2022-01-23 01:52:00,97.67,97.92,97.65,97.8,802.93
2022-01-23 01:53:00,97.78,97.86,97.57,97.74,674.29
2022-01-23 01:54:00,97.73,97.89,97.59,97.86,1326.14
2022-01-23 01:55:00,97.87,98.08,97.64,97.83,3041.92
2022-01-23 01:56:00,97.8,97.8,97.55,97.55,785.54
2022-01-23 01:57:00,97.6,97.77,97.55,97.68,1414.24
2022-01-23 01:58:00,97.68,97.85,97.67,97.83,449.87
2022-01-23 01:59:00,97.83,97.94,97.7,97.8,1028.24
2022-01-23 02:00:00,97.8,97.84,97.59,97.65,270.64
2022-01-23 02:01:00,97.64,97.64,97.5,97.59,504.71
2022-01-23 02:02:00,97.58,97.94,97.58,97.86,1285.62
2022-01-23 02:03:00,97.89,98.04,97.84,97.87,1678.74
2022-01-23 02:04:00,97.87,98.02,97.82,97.88,3179.63
2022-01-23 02:05:00,97.83,97.84,97.27,97.39,3821.11
2022-01-23 02:06:00,97.39,97.39,97.02,97.06,1749.02
2022-01-23 02:07:00,97.04,97.08,96.68,96.9,3837.52
2022-01-23 02:08:00,96.89,96.95,96.76,96.82,867.16
2022-01-23 02:09:00,96.85,96.86,96.42,96.8,3727.55
2022-01-23 02:10:00,96.78,96.8,96.17,96.24,6990.02
2022-01-23 02:11:00,96.25,96.25,95.86,95.92,4290.94
2022-01-23 02:12:00,95.91,95.93,95.5,95.58,3300.2
