time,open,high,low,close,volume
2022-01-23 00:01:00,11.14,11.15,11.12,11.12,1072.04
2022-01-23 00:02:00,11.13,11.13,11.09,11.1,479.73
2022-01-23 00:03:00,11.1,11.1,11.09,11.1,271.69
2022-01-23 00:04:00,11.09,11.1,11.06,11.06,473.98
2022-01-23 00:05:00,11.06,11.07,11.06,11.07,672.35
2022-01-23 00:06:00,11.07,11.08,11.06,11.08,570.06
2022-01-23 00:07:00,11.09,11.19,11.09,11.19,2594.91
2022-01-23 00:08:00,11.2,11.21,11.18,11.2,2446.38
2022-01-23 00:09:00,11.2,11.22,11.16,11.2,2509.13
2022-01-23 00:10:00,11.21,11.28,11.21,11.25,5322.21
2022-01-23 00:11:00,11.26,11.27,11.23,11.25,1332.4
2022-01-23 00:12:00,11.23,11.26,11.21,11.24,1086.03
2022-01-23 00:13:00,11.24,11.24,11.19,11.21,973.41
2022-01-23 00:14:00,11.21,11.22,11.2,11.22,1372.98
2022-01-23 00:15:00,11.21,11.21,11.17,11.18,961.46
2022-01-23 00:16:00,11.19,11.2,11.19,11.2,420.49
2022-01-23 00:17:00,11.2,11.2,11.16,11.17,1126.7
2022-01-23 00:18:00,11.16,11.17,11.15,11.17,555.27
2022-01-23 00:19:00,11.17,11.19,11.17,11.18,965.33
2022-01-23 00:20:00,11.19,11.24,11.19,11.22,1234.32
2022-01-23 00:21:00,11.23,11.31,11.22,11.31,4955.25
2022-01-23 00:22:00,11.3,11.37,11.29,11.36,4060.35
2022-01-23 00:23:00,11.34,11.36,11.31,11.35,2235.99
2022-01-23 00:24:00,11.34,11.37,11.33,11.35,3118.06
2022-01-23 00:25:00,11.35,11.37,11.34,11.36,661.82
2022-01-23 00:26:00,11.36,11.37,11.33,11.34,1828.5
2022-01-23 00:27:00,11.35,11.41,11.35,11.41,3964.34
2022-01-23 00:28:00,11.41,11.43,11.37,11.37,4703.73
2022-01-23 00:29:00,11.37,11.4,11.36,11.38,1033.76
2022-01-23 00:30:00,11.37,11.43,11.37,11.43,1184.91
2022-01-23 00:31:00,11.42,11.44,11.39,11.39,2012.21
2022-01-23 00:32:00,11.4,11.45,11.4,11.43,10145.16
2022-01-23 00:33:00,11.43,11.44,11.33,11.34,5159.07
2022-01-23 00:34:00,11.35,11.37,11.34,11.35,870.9
2022-01-23 00:35:00,11.36,11.38,11.33,11.35,673.13
2022-01-23 00:36:00,11.36,11.42,11.36,11.42,1691.57
2022-01-23 00:37:00,11.43,11.43,11.39,11.41,2623.33
2022-01-23 00:38:00,11.41,11.41,11.38,11.4,251.25
2022-01-23 00:39:00,11.38,11.41,11.38,11.41,638.76
2022-01-23 00:40:00,11.41,11.41,11.39,11.4,477.32
2022-01-23 00:41:00,11.4,11.41,11.38,11.41,887.75
2022-01-23 00:42:00,11.41,11.41,11.37,11.38,2554.01
2022-01-23 00:43:00,11.39,11.39,11.38,11.39,364.78
2022-01-23 00:44:00,11.37,11.38,11.35,11.36,2869.0
2022-01-23 00:45:00,11.36,11.39,11.35,11.38,926.69
2022-01-23 00:46:00,11.38,11.39,11.36,11.39,279.05
2022-01-23 00:47:00,11.39,11.41,11.38,11.41,242.41
2022-01-23 00:48:00,11.4,11.4,11.37,11.38,140.42
2022-01-23 00:49:00,11.39,11.41,11.39,11.41,139.38
2022-01-23 00:50:00,11.41,11.41,11.38,11.41,710.49
2022-01-23 00:51:00,11.42,11.45,11.42,11.43,4262.73
2022-01-23 00:52:00,11.42,11.46,11.42,11.44,1415.09
2022-01-23 00:53:00,11.43,11.48,11.43,11.45,5828.13
2022-01-23 00:54:00,11.44,11.48,11.44,11.48,2904.29
2022-01-23 00:55:00,11.48,11.5,11.47,11.48,2864.29
2022-01-23 00:56:00,11.46,11.47,11.44,11.45,894.28
2022-01-23 00:57:00,11.46,11.48,11.44,11.45,1770.98
2022-01-23 00:58:00,11.45,11.5,11.45,11.5,3127.46
2022-01-23 00:59:00,11.5,11.51,11.47,11.51,1361.99
2022-01-23 01:00:00,11.5,11.5,11.46,11.48,629.01
2022-01-23 01:01:00,11.47,11.48,11.42,11.45,6976.52
2022-01-23 01:02:00,11.45,11.49,11.45,11.48,1583.57
2022-01-23 01:03:00,11.47,11.48,11.45,11.48,2175.94
2022-01-23 01:04:00,11.49,11.5,11.49,11.5,173.81
2022-01-23 01:05:00,11.49,11.53,11.47,11.47,3818.13
2022-01-23 01:06:00,11.46,11.46,11.42,11.42,2678.09
2022-01-23 01:07:00,11.42,11.45,11.42,11.45,1171.41
2022-01-23 01:08:00,11.45,11.46,11.43,11.46,266.27
2022-01-23 01:09:00,11.46,11.48,11.46,11.47,1177.75
2022-01-23 01:10:00,11.47,11.49,11.47,11.49,1712.44
2022-01-23 01:11:00,11.48,11.48,11.42,11.42,2481.1
2022-01-23 01:12:00,11.43,11.46,11.42,11.46,752.23
2022-01-23 01:13:00,11.45,11.46,11.45,11.45,640.68
2022-01-23 01:14:00,11.44,11.46,11.43,11.44,753.77
2022-01-23 01:15:00,11.45,11.46,11.44,11.44,628.01
2022-01-23 01:16:00,11.44,11.45,11.42,11.43,875.85
2022-01-23 01:17:00,11.43,11.44,11.43,11.44,122.09
2022-01-23 01:18:00,11.43,11.44,11.42,11.44,217.35
2022-01-23 01:19:00,11.44,11.45,11.42,11.45,390.29
2022-01-23 01:20:00,11.45,11.49,11.45,11.48,985.14
2022-01-23 01:21:00,11.49,11.49,11.46,11.47,368.42
2022-01-23 01:22:00,11.48,11.48,11.46,11.47,210.95
